idx,Output,Hypothesis,Entropy,Errors,Bridging score,3,2,1
2,A new moon will occur on june 30 when the moon orbits the earth.,The next new moon will occur on june 30.,0.002926746101,1,0.93,N,N,N
3,The nucleus of an atom has more mass than an electron.,Most of the mass of an atom is located in the nucleus.,0.8222750915,1,0.12,N,N,N
4,Atom is a particle that is made of a core core surrounded by electrons and a nucleus surrounded by electron.,An atom is made of a core of protons and neutrons surrounded by electrons.,0.01031069601,0,0.38,N,N,N
5,A wire is made of copper material.,Copper is a material that is an electrical conductor.,0.002913144858,0,0.85,N,N,N
6,A new moon will happen on june 30 when the moon orbits the earth.,The next new moon will occur on june 30.,0.002969750619,1,0.95,N,N,N
7,The small intestine is part of the digestive system that absorbs nutrients from food into itself by eating.,Nutrients are absorbed from food in the small intestine.,0.04966700013,0,1.00,E,E,E
8,A fish is a kind of scaled animal that uses their scales to defend themselves.,Scales are used for protection by fish.,0.05342021635,0,1.00,E,E,E
9,Mercury orbits the sun in 88 earth days.,A complete orbit of mercury around the sun takes around 88 earth days.,0.04905828524,0,0.16,E,E,E
10,Mercury is a planet in the solar system that orbits the sun in 88 earth days.,A complete orbit of mercury around the sun takes around 88 earth days.,0.05917187063,0,0.40,E,E,E
11,Someone looking into a mirror that reflects light is able to be seen.,Looking at an image in a mirror is an example of light being reflected by a mirror.,0.005645827443,0,0.92,N,N,N
12,"A leaf photosynthesizing makes food for the plant by converting carbon dioxide, water, and sunlight into carbohydrates.",A leaf makes food for the plant by converting sunlight into carbohydrates.,0.0846765991,0,0.99,N,E,E
13,Looking at light is an example of reflection.,Looking at an image in a mirror is an example of light being reflected by a mirror.,0.004031186964,0,0.09,N,N,N
14,The nucleus of an atom is surrounded by almost empty space.,An atom has a positive core surrounded by mostly empty space.,0.0214337785,0,0.09,N,N,N
15,A meter stick can be used to record the height and the length of a door.,A meter stick can be used to measure the height of the door.,0.101367347,0,0.99,N,E,E?
16,Burning wood converts chemical energy into thermal energy.,The chemical energy in wood is transformed into thermal energy.,0.04927237215,0,0.99,E,E,N
17,Information in an organism's chromosomes causes an inherited characteristic to be passed from parent to offspring by dna.,Children usually resemble parents.,0.02171386326,0,0.10,N,N,N
18,A physicist studies the mechanical energy required for a simple machine to function.,A physicist is the scientist who study the relationship between simple machines and energy.,0.009094854406,0,0.86,N,E,N
19,A flood can cause the resources used by organisms in a body of water to increase.,A flood may cause the population of salamander to increase in an environment.,0.001970715409,0,0.00,N,N,N
20,To improve means to have a positive impact on exercise.,Exercise can help a human maintain good health.,0.00301382259,0,0.09,N,N,N
21,A meter stick can be used to record the position of the door.,A meter stick can be used to measure the height of the door.,0.0027340957,0,0.01,N,N,N
22,Objects are made up of matter and have mass.,All objects have mass.,0.1603153596,0,0.03,E,E,E
23,Transferring heat from an egg will cause the egg to decrease in temperature.,The water will increase in temperature and the egg will decrease in temperature.,0.02495214585,0,0.07,N,N,N
24,A meter stick can be used to record the length of a door.,A meter stick can be used to measure the height of the door.,0.5953621439,0,0.10,N,N,N
25,Particles in a liquid are slower than particles in a gas to flow past each other.,Particles in a liquid are closer together and slower than particles in a gas.,0.03136325102,0,0.83,N,N,N
26,"The heart pumping blood to the rest of the body is an example of a heart working together with blood vessels, kidneys, and bladder.","The heart, blood vessels, kidneys, and bladder working together makes them an organ system.",0.01754821668,0,0.04,N,N,N
27,A plant is a kind of organism in the biological kingdom plantae.,That organism is a part of the biological kingdom plantae.,0.5379083357,0,0.99,N,E,N
28,Earth rotating on its axis causes cycles of day and night once per day.,The earth rotating on its tilted axis causes the cycles of day and night on earth.,0.0188886725,0,0.01,E,N,N
29,The excretory system removes waste from the body.,The excretory system removes waste from the body.,0.06230014397,0,1.00,E,E,E
30,The student is studying the milky way galaxy.,The student observes the milky way galaxy at night.,0.003498584268,0,0.00,N,N,N
31,Andy lives in August during the winter in the southern hemisphere.,Andy will experience winter in southern hemisphere in august.,0.002371482271,0,0.94,E,N,N
32,Longitudinal waves cause the object to move in the same direction as the wave.,Compression waves cause object to move in the same direction of the wave.,0.002906796268,0,0.02,N,N,N
33,Light absorbs solar energy and transfers solar energy to something else.,Chlorophyll is used for absorbing light energy by plants.,0.00391399309,0,0.01,N,N,N
